,Document,Dominant Topic,Contribution %,Topic Desc
526,"['three', 'extremist', 'attack', 'happen', 'last', 'hour', 'th', 'july', 'extremist', 'send', 'ricket', 'residential', 'neighborhood', 'take', 'child', 'two', 'woman', 'aleppo', 'syria', 'suicide', 'comber', 'attack', 'yeoman', 'army', 'checkpoint', 'kill', 'yeoman', 'mukalla', 'kill', 'injure', 'albany', 'terrorist', 'attack', 'police', 'station', 'graphic', 'kazakhstanalmaty', 'come', 'together', 'predict', 'next', 'terrorist', 'attack', 'likely', 'occur', 'good', 'weapon', 'fight', 'extremist', 'might', 'information', 'fact', 'machine', 'learn', 'already', 'use', 'predict', 'prevent', 'terrorist', 'attack', 'datum', 'gather', 'religion', 'peace', 'webster', 'webster', 'gather', 'event', 'result', 'kill', 'commit', 'religious', 'duty', 'since', 'dataset', 'contain', 'table', 'summary', 'datum', 'include', 'date', 'country', 'city', 'people', 'kill', 'people', 'injure', 'description', 'include', 'type', 'attack', 'description', 'bombcarshotingrocket', 'I', 'webscrape', 'datum', 'use', 'r', 'rest', 'webscrape', 'terror', 'datum', 'ping_freud', 'use', 'follow', 'cadet', 'find', 'node', 'select', 'page', 'htpscranrprojectorgwebpackagesrvestvigneteselectorgadgethtml', 'librarydplyr', 'pipe', 'flow', 'librarygplot', 'libraryrv', 'webscrape', 'build', 'string', 'declare', 'variable', 'link', 'datum', 'datalink', 'htpswthereligionofpeacecomatacksatacksaspx', 'year', 'character', 'link', 'pastedatalinkyryearsep', 'terornode', 'terordata', 'vectorlistlengthlink', 'loop', 'extract', 'datum', 'I', 'lengthlink', 'terornodesi', 'read_htmlinksi', 'html_nodesxpathtable', 'node', 'table', 'datum', 'terordatai', 'asdataframehtml_tableterornodesi', 'terordatai', 'terordatainrowterordatai', 'combine', 'datum', 'frame', 'teroraldata', 'docalrbindterordata', 'convert', 'string', 'date', 'date', 'format', 'teroraldatadate', 'asdateteroraldatadateymd', 'rownamesteroraldata', 'ascharacternrowteroraldata', 'writecsvteroraldatatacks_datacsv', 'I', 'work', 'analysis', 'yet', 'geospacial', 'distribution', 'type', 'hide', 'description', 'string', 'magnitude', 'attack', 'also', 'possibility', 'use', 'socioeconomical', 'datum', 'available', 'place', 'list']",3,93.15,"use, I, contain, number, file, time, information"
527,"['context', 'fantasy', 'premier', 'league', 'online', 'global', 'competition', 'football', 'enthusiast', 'try', 'luck', 'pick', 'dream', 'team', 'collect', 'point', 'involve', 'deep', 'understanding', 'sport', 'club', 'player', 'fixture', 'apart', 'many', 'thing', 'make', 'compelling', 'datum', 'science', 'read', 'machine', 'learn', 'problem', 'english', 'premier', 'league', 'epi', 'one', 'famous', 'league', 'sport', 'football', 'view', 'follow', 'across', 'globe', 'provide', 'opportunity', 'enthusiast', 'try', 'hand', 'decision', 'make', 'predict', 'good', 'set', 'player', 'perform', 'every', 'game', 'point', 'give', 'base', 'various', 'parameter', 'goal', 'get', 'maximum', 'team', 'score', 'every', 'week', 'content', 'time', 'period', 'year', 'season', 'dataset', 'consist', 'user', 'datum', 'basic', 'information', 'fixture', 'wekwise', 'point', 'earn', 'every', 'user', 'gamewekwise', 'datum', 'extraction', 'detailed', 'information', 'code', 'github', 'rep', 'htpsgithubcomchaibapchyafantasypremierleaguedatascience', 'acknowledgment', 'thank', 'fantasy', 'premier', 'league', 'without', 'datum', 'would', 'available', 'inspiration', 'diego', 'costa', 'score', 'goal', 'every', 'minute', 'match', 'play', 'harry', 'lane', 'young', 'player', 'score', 'premier', 'league', 'goal', 'statistic', 'true', 'compelling', 'read', 'know', 'nathaniel', 'chalobah', 'probability', 'score', 'stoke', 'city', 'weekend', 'alexis', 'ranch', 'score', 'around', 'goal', 'month', 'ce', 'fabregas', 'go', 'assist', 'weekend', 'david', 'de', 'get', 'go', 'cleanse', 'statistic', 'much', 'lend', 'much', 'credibility', 'decision', 'make', 'would', 'enable', 'fantasy', 'premier', 'league', 'team', 'owner', 'decide', 'choose', 'player', 'b', 'right', 'time', 'use', 'willard', 'c', 'time', 'patient', 'sign', 'watch', 'order', 'one', 'need', 'datum', 'back', 'prediction', 'hence', 'I', 'keen', 'retrieve', 'datum', 'future', 'scope', 'predict', 'good', 'team', 'come', 'week', 'predict', 'good', 'player', 'high', 'value', 'money', 'goalkeeper', 'defender', 'midfield', 'attacker', 'suggest', 'possible', 'change', 'formation', 'need']",3,99.69,"use, I, contain, number, file, time, information"
528,"['context', 'last', 'decade', 'new', 'way', 'shop', 'online', 'increase', 'possibility', 'buy', 'product', 'service', 'easily', 'fast', 'ever', 'new', 'context', 'personality', 'key', 'determine', 'decision', 'make', 'consumer', 'shop', 'person', 'buy', 'choice', 'influence', 'psychological', 'factor', 'like', 'impulsiveness', 'indeed', 'consumer', 'may', 'susceptible', 'make', 'impulse', 'purchase', 'since', 'effective', 'metadata', 'closely', 'relate', 'user', 'experience', 'genetic', 'parameter', 'accurate', 'prediction', 'reveal', 'important', 'aspect', 'user', 'attitude', 'social', 'life', 'include', 'attitude', 'social', 'identity', 'work', 'propose', 'highly', 'innovative', 'research', 'use', 'personality', 'perspective', 'determine', 'unique', 'association', 'among', 'consumer', 'buy', 'tendency', 'avert', 'recommendation', 'fact', 'lack', 'publicly', 'available', 'benchmark', 'computational', 'advertising', 'allow', 'exploration', 'intrigue', 'research', 'direction', 'evaluation', 'recent', 'algorithm', 'present', 'dataset', 'publicly', 'available', 'benchmark', 'consist', 'real', 'advertisement', 'rich', 'medium', 'image', 'text', 'rate', 'unacquainted', 'individual', 'enrich', 'bigfive', 'user', 'personality', 'factor', 'personal', 'user', 'picture', 'content', 'content', 'zip', 'file', 'holder', 'directory', 'tree', 'disk', 'follow', 'old', 'belong', 'productservice', 'category', 'user', 'holder', 'old', 'contain', 'datum', 'one', 'involve', 'subject', 'real', 'advertisement', 'score', 'rating', 'accord', 'user', 'interest', 'star', 'star', 'personal', 'picture', 'label', 'positivenegative', 'bigfive', 'personality', 'score', 'ocean', 'datum', 'easily', 'analyze', 'mata', 'patron', 'acknowledgment', 'use', 'dataset', 'please', 'cite', 'roof', 'g', 'vinciareli', 'august', 'personality', 'computational', 'advertising', 'benchmark', 'th', 'workshop', 'emotion', 'personality', 'personalize', 'system', 'empire', 'p', 'inspiration', 'collect', 'introduce', 'representative', 'benchmark', 'computational', 'advertising', 'enrich', 'afectivelike', 'metadata', 'personality', 'factor', 'benchmark', 'allow', 'I', 'explore', 'relationship', 'consumer', 'characteristic', 'attitude', 'toward', 'online', 'shop', 'avert', 'recommendation', 'ii', 'identify', 'underlie', 'dimension', 'consumer', 'shop', 'motivation', 'attitude', 'toward', 'online', 'restore', 'conversion', 'iii', 'reference', 'benchmark', 'comparison', 'stateoftheart', 'advertisement', 'recommend', 'system', 'arm', 'good', 'knowledge', 'dataset', 'first', 'attempt', 'provide', 'set', 'advertisement', 'score', 'user', 'accord', 'interest', 'content', 'hope', 'work', 'motivate', 'research', 'take', 'account', 'use', 'personality', 'factor', 'integral', 'part', 'future', 'work', 'since', 'high', 'potential', 'incorporate', 'kind', 'user', 'characteristic', 'could', 'enhance', 'recommendation', 'quality', 'user', 'experience']",3,64.21,"use, I, contain, number, file, time, information"
529,"['recent', 'update', 'I', 'post', 'cluster', 'full', 'dataset', 'might', 'give', 'boost', 'work', 'datum', 'I', 'post', 'vectorize', 'sunset', 'w', 'datum', 'point', 'sample', 'manual', 'reduction', 'dataset', 'ed', 'context', 'clean', 'datum', 'use', 'search', 'public', 'comment', 'proceed', 'net', 'neutrality', 'repeal', 'datum', 'collect', 'begin', 'submission', 'april', 'oct', 'th', 'longrune', 'comment', 'scrape', 'script', 'suffer', 'couple', 'disconnection', 'I', 'estimate', 'I', 'lose', 'comment', 'even', 'though', 'net', 'neutrality', 'public', 'comment', 'period', 'end', 'august', 'eye', 'system', 'continue', 'take', 'comment', 'afterward', 'include', 'analysis', 'I', 'write', 'result', 'htpshackernoncomorethanamilionprorepealnetneutralitycomentswerelikelyfakedefeda', 'content', 'document', 'text', 'post', 'number', 'duplicate', 'find', 'text', 'necessary', 'generate', 'result', 'text', 'raw', 'unchanged', 'original', 'I', 'work', 'hard', 'get', 'online', 'full', 'set', 'datum', 'w', 'important', 'metadata', 'field', 'clean', 'notebook', 'use', 'available', 'github', 'I', 'post', 'notebook', 'exploratory', 'datum', 'analysis', 'first', 'include', 'clean', 'please', 'share', 'rest', 'interesting', 'insight', 'clean', 'datum', 'sweet', 'I', 'jefykao']",3,55.17,"use, I, contain, number, file, time, information"
530,"['content', 'emojinet', 'large', 'machinereadable', 'embolus', 'sense', 'inventor', 'link', 'unicorn', 'embolus', 'representation', 'english', 'meaning', 'extract', 'web', 'emojinet', 'dataset', 'consist', 'sense', 'label', 'embolus', 'extract', 'web', 'link', 'machinereadable', 'sense', 'definition', 'see', 'babelnet', 'context', 'word', 'associate', 'embolus', 'sense', 'infer', 'word', 'embed', 'model', 'train', 'goose', 'news', 'corpus', 'twitter', 'message', 'corpus', 'embolus', 'sense', 'definition', 'specification', 'likely', 'platformbase', 'embolus', 'sense', 'select', 'set', 'embolus', 'since', 'embolus', 'presentation', 'different', 'different', 'platform', 'acknowledgment', 'emojinet', 'develop', 'sanjaya', 'wijeratne', 'lakshika', 'balasuriya', 'amid', 'sheath', 'dere', 'doran', 'emojinet', 'license', 'creative', 'common', 'atributiononcomercialsharealike', 'report', 'c', 'byncsa', 'license', 'please', 'cite', 'follow', 'paper', 'use', 'emojinet', 'dataset', 'sanjaya', 'wijeratne', 'lakshika', 'balasuriya', 'amid', 'sheath', 'dere', 'doran', 'emojinet', 'open', 'service', 'apt', 'embolus', 'sense', 'discovery', 'th', 'international', 'ai', 'conference', 'web', 'social', 'medium', 'ice', 'montreal', 'canada', 'also', 'find', 'information', 'dataset', 'project', 'webster', 'banner', 'photo', 'frank', 'bearer', 'license', 'c', 'license', 'inspiration', 'use', 'sense', 'create', 'sentiment', 'lesion', 'embolus', 'cluster', 'embolus', 'base', 'sense', 'embolus', 'different', 'across', 'platform']",3,99.43,"use, I, contain, number, file, time, information"
531,"['context', 'everyone', 'speak', 'language', 'speak', 'accent', 'particular', 'accent', 'essentially', 'reflect', 'person', 'linguistic', 'background', 'people', 'listen', 'someone', 'speak', 'different', 'accent', 'notice', 'difference', 'may', 'even', 'make', 'certain', 'base', 'social', 'judgment', 'speaker', 'speech', 'accent', 'archive', 'establish', 'uniformly', 'exhibit', 'large', 'set', 'speech', 'accent', 'variety', 'language', 'background', 'native', 'nonnative', 'speaker', 'english', 'read', 'english', 'paragraph', 'carefully', 'record', 'archive', 'construct', 'teach', 'tool', 'research', 'tool', 'mean', 'use', 'linguistic', 'well', 'people', 'simply', 'wish', 'listen', 'compare', 'accent', 'different', 'english', 'speaker', 'dataset', 'allow', 'compare', 'geographic', 'linguistic', 'background', 'speaker', 'order', 'determine', 'variable', 'key', 'creditor', 'accent', 'speech', 'accent', 'archive', 'demonstrate', 'accent', 'systematic', 'rather', 'merely', 'mistaken', 'speech', 'linguistic', 'analysis', 'accent', 'available', 'public', 'scrutiny', 'welcome', 'comment', 'accuracy', 'transcription', 'analysis', 'content', 'dataset', 'contain', 'speech', 'sample', 'different', 'talker', 'read', 'read', 'passage', 'talker', 'come', 'country', 'different', 'native', 'language', 'talker', 'speak', 'english', 'dataset', 'contain', 'follow', 'file', 'readingpasagetxt', 'text', 'speaker', 'read', 'speakers_alcsv', 'geographic', 'information', 'every', 'speaker', 'record', 'lip', 'old', 'contain', 'file', 'speech', 'acknowledgment', 'dataset', 'collect', 'many', 'individual', 'full', 'list', 'supervision', 'seven', 'h', 'weinberger', 'update', 'version', 'archive', 'post', 'george', 'mason', 'university', 'use', 'dataset', 'work', 'please', 'include', 'follow', 'situation', 'weinberger', 'speech', 'accent', 'archive', 'george', 'mason', 'university', 'dataset', 'distribute', 'c', 'byncsa', 'license', 'inspiration', 'follow', 'type', 'people', 'may', 'find', 'dataset', 'interesting', 'est', 'teacher', 'instruct', 'nonnative', 'speaker', 'english', 'actor', 'need', 'learn', 'accent', 'engineer', 'train', 'speech', 'recognition', 'machine', 'linguistic', 'research', 'foreign', 'accent', 'phonetician', 'teach', 'poetic', 'transcription', 'speech', 'pathologist', 'anyone', 'find', 'foreign', 'accent', 'interesting']",2,93.97,"university, I, contain, use, state, include, acknowledgment"
532,"['context', 'kepler', 'space', 'conservatory', 'nasabuild', 'satellite', 'launch', 'telescope', 'dedicated', 'search', 'exoplanet', 'star', 'system', 'besides', 'ultimate', 'goal', 'possibly', 'find', 'charitable', 'planet', 'besides', 'original', 'mission', 'end', 'due', 'mechanical', 'failure', 'telescope', 'nevertheless', 'functional', 'since', 'k', 'extend', 'mission', 'kepler', 'verify', 'new', 'exoplanet', 'may', 'october', 'confirm', 'exoplanet', 'total', 'use', 'detection', 'method', 'include', 'groundbase', 'one', 'telescope', 'still', 'active', 'continue', 'collect', 'new', 'datum', 'extend', 'mission', 'content', 'dataset', 'cumulative', 'record', 'observe', 'kepler', 'object', 'interest', 'basically', 'approximately', 'exoplanet', 'candidate', 'kepler', 'take', 'observation', 'dataset', 'extensive', 'datum', 'dictionary', 'access', 'highlightable', 'column', 'note', 'kepoi_name', 'roi', 'target', 'identify', 'kepler', 'project', 'display', 'least', 'one', 'transitlike', 'sequence', 'within', 'kepler', 'timeserie', 'photometry', 'appear', 'astrophysical', 'origin', 'initially', 'consistent', 'plantar', 'transit', 'hypothesis', 'kepler_name', 'name', 'intend', 'clearly', 'indicate', 'class', 'object', 'confirm', 'validate', 'planet', 'step', 'planet', 'candidate', 'designation', 'koi_disposition', 'disposition', 'literature', 'towards', 'exoplanet', 'candidate', 'one', 'candidate', 'false', 'positive', 'disposition', 'confirm', 'koi_pdisposition', 'disposition', 'kepler', 'datum', 'analysis', 'towards', 'exoplanet', 'candidate', 'one', 'false', 'positive', 'disposition', 'candidate', 'koi_score', 'value', 'indicate', 'confidence', 'roi', 'disposition', 'candidate', 'high', 'value', 'indicate', 'confidence', 'disposition', 'false', 'positive', 'high', 'value', 'indicate', 'less', 'confidence', 'disposition', 'acknowledgment', 'dataset', 'publish', 'basis', 'nasal', 'access', 'original', 'table', 'datum', 'kepler', 'mission', 'available', 'source', 'inspiration', 'often', 'exoplanet', 'confirm', 'exist', 'literature', 'disconfirmed', 'measurement', 'kepler', 'way', 'round', 'general', 'characteristic', 'exoplanet', 'find', 'derive', 'dataset', 'exoplanet', 'get', 'assign', 'name', 'literature', 'distribution', 'confidence', 'score', 'see', 'also', 'kepler', 'label', 'time', 'series', 'open', 'exoplanet', 'catalogue', 'dataset']",3,87.58,"use, I, contain, number, file, time, information"
533,"['dataset', 'contain', 'state', 'player', 'coach', 'tear', 'man', 'professional', 'basketball', 'league', 'acknowledgment', 'dataset', 'download', 'open', 'source', 'sport', 'webster', 'come', 'explicit', 'license', 'base', 'dataset', 'open', 'source', 'sport', 'treat', 'follow', 'database', 'copyright', 'see', 'layman', 'work', 'license', 'creative', 'common', 'atributionsharealike', 'report', 'license', 'detail', 'see', 'htpcreativecomonsorglicensesbysa', 'datum', 'dataset', 'contain', 'file', 'correspond', 'datum', 'table', 'five', 'main', 'table', 'master', 'biographical', 'information', 'player', 'coach', 'tear', 'state', 'team', 'per', 'year', 'player', 'state', 'player', 'per', 'year', 'coach', 'state', 'coach', 'per', 'year', 'series_post', 'information', 'postseason', 'dinner', 'per', 'year', 'six', 'supplementary', 'table', 'key', 'abbreviation', 'use', 'table', 'awards_coache', 'reach', 'award', 'per', 'year', 'awards_players', 'player', 'award', 'per', 'year', 'draft', 'draft', 'information', 'per', 'year', 'hall', 'fame', 'information', 'per', 'year', 'player_alstar', 'individual', 'player', 'state', 'altar', 'game', 'per', 'year']",3,99.42,"use, I, contain, number, file, time, information"
534,"['count', 'project', 'guardian', 'work', 'count', 'number', 'people', 'kill', 'police', 'law', 'enforcement', 'agency', 'united', 'state', 'throughout', 'monitor', 'demographic', 'tell', 'story', 'die', 'database', 'combine', 'guardian', 'report', 'verify', 'crowdsource', 'information', 'build', 'comprehensive', 'record', 'facility', 'count', 'thorough', 'public', 'account', 'deadly', 'use', 'force', 'operate', 'imperfect', 'work', 'progress', 'update', 'guardian', 'reporter', 'interactive', 'journalist', 'frequently', 'death', 'arise', 'directly', 'encounter', 'law', 'enforcement', 'include', 'database', 'inevitably', 'include', 'likely', 'limited', 'people', 'shoot', 'tattere', 'strike', 'police', 'vehicle', 'well', 'die', 'police', 'custody', 'selfinflicte', 'death', 'encounter', 'law', 'enforcement', 'police', 'custody', 'detention', 'facility', 'include', 'government', 'comprehensive', 'record', 'number', 'people', 'kill', 'law', 'enforcement', 'lack', 'basic', 'datum', 'glare', 'amid', 'protest', 'riot', 'worldwide', 'debate', 'set', 'motion', 'fatal', 'police', 'shoot', 'michael', 'brown', 'august', 'guardian', 'agree', 'analysis', 'campaign', 'group', 'activist', 'authority', 'argue', 'account', 'prerequisite', 'inform', 'public', 'discussion', 'use', 'force', 'police', 'contribution', 'information', 'may', 'improve', 'quality', 'datum', 'greatly', 'welcome', 'work', 'toward', 'well', 'accountability', 'please', 'contact', 'thecountedtheguardiancom', 'credit', 'research', 'report', 'swain', 'oliver', 'laughlin', 'mile', 'larrey', 'design', 'production', 'begin', 'davis', 'rich', 'harris', 'adj', 'popovich', 'benton', 'powell']",2,99.56,"university, I, contain, use, state, include, acknowledgment"
535,"['predict', 'result', 'horse', 'race', 'one', 'sport', 'involve', 'many', 'gamble', 'activity', 'million', 'people', 'world', 'try', 'find', 'win', 'formula', 'order', 'gain', 'profit', 'bet', 'since', 'many', 'factor', 'could', 'affect', 'race', 'result', 'datum', 'analysis', 'horse', 'race', 'become', 'much', 'interesting', 'long', 'long', 'horse', 'race', 'especially', 'interesting', 'due', 'follow', 'reason', 'handicap', 'system', 'make', 'race', 'competitive', 'horse', 'pool', 'small', 'compare', 'country', 'horse', 'meet', 'rivalry', 'often', 'race', 'limited', 'number', 'jockeytrainer', 'datum', 'well', 'manage', 'official', 'dataset', 'dataset', 'contain', 'race', 'result', 'local', 'race', 'throughout', 'long', 'long', 'race', 'season', 'information', 'add', 'dataset', 'dataset', 'divide', 'two', 'table', 'join', 'race', 'column', 'description', 'find', 'one', 'extra', 'piece', 'information', 'finishing_position', 'special', 'incident', 'please', 'refer', 'find', 'pattern', 'winner', 'condition', 'spot', 'win', 'strategy', 'foi', 'bet', 'horse', 'equally', 'bring', 'loss', 'average', 'jockeytrainer', 'worth', 'follow', 'wait', 'start', 'datum', 'analysis', 'may', 'find', 'kersey', 'I', 'create', 'useful', 'enjoy', 'please', 'remember', 'share', 'find', 'community', 'acknowledgment', 'datum', 'extract', 'webster', 'long', 'long', 'jockey', 'club', 'get', 'start', 'case', 'familiar', 'long', 'long', 'horse', 'race', 'please', 'see', 'notebook', 'get', 'start', 'tutoring']",3,71.39,"use, I, contain, number, file, time, information"
536,"['context', 'refugee', 'person', 'outside', 'country', 'nationality', 'unable', 'unwilling', 'return', 'country', 'nationality', 'persecution', 'welfounde', 'fear', 'persecution', 'account', 'race', 'religion', 'nationality', 'membership', 'particular', 'social', 'group', 'political', 'opinion', 'asile', 'person', 'meet', 'definition', 'refugee', 'already', 'present', 'united', 'state', 'seek', 'admission', 'port', 'entry', 'refugee', 'require', 'apply', 'lawful', 'permanent', 'resident', 'green', 'card', 'status', 'one', 'year', 'admit', 'asylum', 'may', 'apply', 'green', 'card', 'status', 'one', 'year', 'grant', 'asylum', 'content', 'office', 'immigration', 'statistic', 'annual', 'flow', 'report', 'refugee', 'asylum', 'contain', 'information', 'obtain', 'worldwide', 'refugee', 'admission', 'process', 'system', 'wrap', 'bureau', 'population', 'refugee', 'migration', 'department', 'state', 'number', 'geographic', 'profile', 'person', 'admit', 'united', 'state', 'refugee', 'grant', 'asylum', 'status', 'give', 'fiscal', 'year']",2,58.33,"university, I, contain, use, state, include, acknowledgment"
537,"['context', 'variance', 'translation', 'rotation', 'important', 'attribute', 'would', 'like', 'image', 'classified', 'many', 'application', 'many', 'problem', 'even', 'seem', 'lot', 'translation', 'datum', 'augment', 'transformation', 'often', 'beneficial', 'many', 'dataset', 'transformation', 'clearly', 'relevant', 'though', 'snake', 'eye', 'dataset', 'seek', 'provide', 'problem', 'rotation', 'translation', 'clearly', 'fundamental', 'aspect', 'problem', 'something', 'intuitively', 'believe', 'involve', 'image', 'classified', 'frequently', 'utilize', 'pipeline', 'bound', 'box', 'first', 'extract', 'complete', 'image', 'process', 'might', 'provide', 'center', 'datum', 'classified', 'translation', 'might', 'still', 'present', 'datum', 'classified', 'see', 'though', 'make', 'phenomenon', 'relevant', 'classification', 'nevertheless', 'snake', 'eye', 'classified', 'clearly', 'benefit', 'preprocese', 'point', 'try', 'learn', 'much', 'classified', 'learn', 'special', 'would', 'like', 'demonstrate', 'build', 'variance', 'translation', 'cos', 'content', 'snake', 'eye', 'contain', 'artificial', 'image', 'simulate', 'roll', 'one', 'two', 'dice', 'face', 'pattern', 'modify', 'contain', 'black', 'spot', 'make', 'impossible', 'solve', 'problem', 'merely', 'count', 'datum', 'synthesize', 'use', 'patron', 'program', 'image', 'produce', 'set', 'floatingpoint', 'parameter', 'model', 'position', 'angle', 'dice', 'datum', 'format', 'binary', 'record', 'bite', 'first', 'bite', 'contain', 'class', 'notice', 'start', 'bite', 'image', 'row', 'offer', 'million', 'image', 'split', 'file', 'k', 'record', 'extra', 'test', 'set', 'image', 'inspiration', 'inspire', 'popular', 'tiny', 'image', 'dataset', 'often', 'study', 'research', 'moist', 'cigar', 'fashionmnist', 'dataset', 'small', 'image', 'though', 'x', 'class', 'reduce', 'proportion', 'help', 'approximate', 'actual', 'manifold', 'class', 'available', 'number', 'datum', 'point', 'million', 'image', 'datum', 'artificial', 'limited', 'weldefine', 'pattern', 'noisefre', 'properly', 'antialiase', 'improve', 'accuracy', 'wonder', 'possible', 'deep', 'network', 'expect', 'less', 'precision', 'achieve', 'method', 'eventually', 'interested', 'see', 'different', 'method', 'compare', 'efficiency', 'hard', 'train', 'different', 'model', 'translation', 'rotation', 'variance', 'enforce', 'achieve', 'also', 'interested', 'study', 'concept', 'manifold', 'learn', 'datum', 'intracla', 'amiability', 'due', 'different', 'possible', 'face', 'combination', 'two', 'dice', 'variation', 'come', 'translation', 'rotation', 'hope', 'sample', 'enough', 'datum', 'really', 'allow', 'extraction', 'manifold', 'dimension', 'investigate', 'topic', 'role', 'retain', 'relation', 'model', 'manifold', 'whole', 'datum', 'separate', 'class', 'translation', 'alone', 'already', 'create', 'quite', 'nonconvex', 'manifold', 'class', 'also', 'property', 'linear', 'combination', 'actually', 'different', 'class', 'eg', 'two', 'image', 'face', 'make', 'image', 'class', 'curious', 'see', 'property', 'make', 'problem', 'challenge', 'different', 'technique', 'also', 'secretly', 'hope', 'create', 'imagedetection', 'version', 'infamous', 'spiral', 'problem', 'neutral', 'network', 'offer', 'prize', 'one', 'ham', 'sandwich', 'collect', 'local', 'cafe', 'first', 'person', 'manage', 'train', 'neutral', 'network', 'solve', 'problem', 'convolutional', 'use', 'traditional', 'technique', 'logistic', 'rely', 'motivation', 'function', 'sad', 'training', 'accuracy', 'enough', 'result', 'network', 'may', 'susceptible', 'adversarial', 'instance', 'fine', 'constantly', 'complain', 'ear', 'eat', 'sandwich']",3,99.81,"use, I, contain, number, file, time, information"
538,"['context', 'waldo', 'popular', 'child', 'book', 'series', 'reader', 'present', 'sequence', 'scene', 'scene', 'contain', 'potentially', 'hundred', 'individual', 'different', 'thing', 'exactly', 'one', 'figure', 'waldo', 'tall', 'man', 'stripe', 'red', 'shirt', 'red', 'blaine', 'glass', 'objective', 'game', 'find', 'waldo', 'least', 'time', 'possible', 'dataset', 'raw', 'datum', 'book', 'challenge', 'content', 'dataset', 'contain', 'number', 'cut', 'waldo', 'scene', 'include', 'scene', 'see', 'complimentary', 'keener', 'learn', 'dataset', 'content', 'acknowledgment', 'dataset', 'collect', 'publish', 'basis', 'valentine', 'constantine', 'va', 'github', 'inspiration', 'come', 'strategy', 'well', 'random', 'scan', 'page', 'task', 'identify', 'waldo', 'notwaldo']",3,98.97,"use, I, contain, number, file, time, information"
539,"['context', 'along', 'core', 'mission', 'count', 'population', 'united', 'state', 'census', 'bureau', 'gather', 'wide', 'range', 'economic', 'datum', 'dataset', 'cover', 'economic', 'report', 'survey', 'advance', 'monthly', 'sale', 'retail', 'food', 'service', 'construction', 'spend', 'housing', 'vacancy', 'homeownership', 'manufacture', 'housing', 'survey', 'manufacture', 'housing', 'survey', 'current', 'manufacturer', 'shipment', 'inventory', 'order', 'manufacture', 'trade', 'inventory', 'sale', 'monthly', 'retail', 'trade', 'food', 'service', 'monthly', 'wholesale', 'trade', 'sale', 'inventory', 'new', 'home', 'sale', 'new', 'residential', 'construction', 'quarterly', 'financial', 'report', 'quarterly', 'service', 'survey', 'quarterly', 'summary', 'state', 'local', 'taxis', 'quarterly', 'survey', 'public', 'pension', 'international', 'trade', 'good', 'service', 'content', 'datum', 'arrange', 'long', 'format', 'time_series_code', 'column', 'tie', 'back', 'metadata', 'try', 'figure', 'datum', 'available', 'want', 'start', 'metadata', 'third', 'time', 'series', 'store', 'error', 'code', 'usually', 'confidence', 'interval', 'rather', 'actual', 'value', 'metadata', 'time', 'series', 'value', 'column', 'et_code', 'et_desc', 'et_unit', 'date', 'store', 'complete', 'begin', 'period', 'date', 'time', 'series', 'either', 'monthly', 'quarterly', 'annual', 'resolution', 'exact', 'day', 'month', 'provide', 'convenience', 'align', 'time', 'series', 'unpack', 'period', 'code', 'like', 'q', 'may', 'many', 'time', 'series', 'bundle', 'give', 'datum', 'category', 'description', 'example', 'large', 'category', 'taxis', 'contain', 'dozen', 'type', 'tax', 'category', 'contain', 'separate', 'time', 'series', 'state', 'country', 'two', 'error', 'code', 'time', 'series', 'nonumeric', 'value', 'convert', 'value', 'column', 'reasonable', 'unit', 'need', 'drop', 'entry', 'equal', 'string', 'less', 'percent', 'datum', 'substantially', 'reform', 'provide', 'census', 'bureau', 'find', 'script', 'I', 'use', 'prepare', 'datum', 'acknowledgment', 'datum', 'kindly', 'make', 'available', 'united', 'state', 'census', 'find', 'original', 'datum', 'enjoy', 'dataset', 'might', 'also', 'like', 'one', 'census', 'dataset', 'available', 'eagle', 'inspiration', 'national', 'bureau', 'economic', 'research', 'macroeconomic', 'history', 'united', 'state', 'cover', 'many', 'similar', 'time', 'series', 'census', 'datum', 'report', 'integrate', 'census', 'datum', 'allow', 'generate', 'many', 'time', 'series', 'stretch', 'present', 'back', 'th', 'century']",2,55.45,"university, I, contain, use, state, include, acknowledgment"
