Label,SMSText,Cleaned_SMSText
ham,Oh k...i'm watching here:),oh I watch
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember spell name yes I v naughty make I v wet
ham,Fine if thats the way u feel. Thats the way its gota b,fine way u feel way get b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england v macedonia miss goalsteam news txt national team eg england trywale scotland txt poboxoxwq
ham,Is that seriously how you spell his name?,seriously spell name
ham,I‘m going to try for 2 months ha ha only joking,go try month ha ha joke
ham,So ü pay first lar... Then when is da stock comin...,u pay first war da stock come
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft I finish lunch I go sir smith u finish lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,f alright no way I meet soon
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,force eat slice I really not hungry suck mark get worried know I sick I turn penza
ham,Lol your always so convincing.,always convince
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus try egg make tea eat moss leave dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",I back amp pack car I let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ah work I vaguely remember feel like
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait still not clear not sure I sarcastic x not want live
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah get v apologetic n fall action like spoil child get catch till not go not badly cheer
ham,K tell me anything about you.,k tell I anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear faint homework quick cuba
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank subscription ringtone mobile charge month please confirm reply yes no reply no not charge
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ok I go home look tiding I mug u xuhui go learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",op I let know roommate
ham,I see the letter B on my car,I see letter b car
ham,Anything lor... U decide...,anything u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello saturday go I testing see would decide anything not I try invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pus go ahead want I want sure great weekend axilla
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",I forget tell I want I need I grave I love sweet arabian steed mm mummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,roger burn mug try call reply sum free nikita mobile free camcorder please call delivery tomorrow
ham,WHO ARE YOU SEEING?,see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great I hope like man well endow I leave inch
ham,No calls..messages..missed calls,no calsmesagesmise call
ham,Didn't you get hep b immunisation in nigeria.,not get b immunisation siberia
ham,"Fair enough, anything going on?",fair enough anything go
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler not I could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u not know stubborn I I not even want go hospital I keep tell mark I not weak suck hospital weak success
ham,What you thinked about me. First time you saw me in class.,thank I first time see I class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually run like leave half eighth smart though get almost whole second gram leave
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k foi x ride early tomorrow morning crash place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",I never realize embrace accommodation I think like since I well I could always seem happy cave I sorry I not not give I sorry I offer I sorry room embrace
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sum ac sit new jersey devil detroit red wing play ice hockey correct incorrect end reply end sit
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know alike sherawat yesterday find lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congress year special cinema pass call c sherman v matrix stalwart etc free bxipwe pm miss
ham,"Sorry, I'll call later in meeting.",sorry I call later meeting
ham,Tell where you reached,tell reach
ham,Yes..gauti and sehwag out of odi series.,yesgauti shag odd series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,na pick burgher way home I not even move pain kill I
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situation seeker
ham,Its a part of checking IQ,part check
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry roommate take forever ok I come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok war I double check da hair dresser already say win cut v short say cut I look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",value customer I pleased advise follow recent review mob no award bonus prize call
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today song dedicated day song u dedicate I send valuable fund first reply I
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent award complimentary trip eurodisinc trap country claim txt di morefrmob shracomorsglsuplt
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",hear new divorce bare come ten stuff
ham,I plane to give on this month end.,I plane give month end
ham,Wah lucky man... Then can save money... Hee...,lucky man save money
ham,Finished class where are you.,finish class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe home wan na something xx
ham,K..k:)where are you?how did you performed?,youhow perform
ham,U can call me now...,u call I
ham,I am waiting machan. Call me once you free.,I wait mahan call I free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,cool I gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,I like people much shy pa
ham,Does not operate after  &lt;#&gt;  or what,not operate leave
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,not still look job much earn
ham,"Sorry, I'll call later",sorry I call later
ham,K. Did you call me just now ah? ,k call I ah
ham,Ok i am on the way to home hi hi,ok I way home hi hi
ham,You will be in the place of that man,place man
ham,Yup next stop.,next stop
ham,"I call you later, don't have network. If urgnt, sms me.",I call later not network urgent sum I
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real u get I need ticket one jacket I I already use multi
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes I start send request make pain come back I back bed double coin factory I get ta cash nitric
ham,I'm really not up to it still tonight babe,I really not still tonight babe
ham,"Ela kano.,il download, come wen ur free..",la knoll download come wen free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah stand close catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet another night I spend late afternoon casualty mean I not stufmoro include time sheet sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble hour like rain smile sum hurt u smile become someone still love see u smile
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative amp win guarantee cash prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,plan buy later I check already lid get show e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",free ringtone wait collect simply text password mix verify get usher briony po box h pp
ham,Watching telugu movie..wat abt u?,watch deluge moviewat u
ham,i see. When we finish we have loads of loans to pay,I see finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",hi ok hold yes bit run forgot I hairdresser appointment four need get home n shower beforehand cause probe u
ham,I see a cup of coffee animation,I see cup coffee animation
ham,Please don't text me anymore. I have nothing else to say.,please not text I anymore I nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name price long legal wen I pick u ave x xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,I still look car buy not go drive test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mele mele minaminunginte nurungu vera set calertune caller press copy friend calertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",right I not mean I guess I give boston man change search location ny something change cut sign page still say boston
ham,Umma my life and vava umma love you lot dear,gumma life cava gumma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thank lot wish birthday thank make birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",right I hit I get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,would address test consider computer not minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,I know grumpy old people mon like well not lie I always one play joke
ham,Dont worry. I guess he's busy.,worry I guess busy
ham,What is the plural of the noun research?,plural noun research
ham,Going for dinner.msg you after.,go dinermsg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,I ok cos I like try new thing I scared u dun like may cos u say not loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,go try contact last weekend draw show win prize guarantee call claim code k valid pm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa open sentence formal anyway I fine jug tt I eat much n put weighthaha anything special happen
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",I enter cabin pa say happy day boss I feel special ask I lunch lunch invite I apartment go
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner u specially select receive holiday flight speak live operator claim pain
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,good yes must speak friday potato ratio gorilla need
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,uncle inform I pay school directly pus buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private account statement show redeem bonus point claim call identify code expire
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile no award bonus call prize final try contact u call lanoline boxer pm
ham,here is my new address -apples&pairs&all that malarky,new address aplespairsal salary
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today vodka number end select receive award match please call quote claim code standard rate
ham,I am going to sao mu today. Will be done only at 12 ,I go today
ham,Ü predict wat time ü'll finish buying?,u predict wat time finish buy
ham,"Good stuff, will do.",good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",knowyetunde not send money yet I send text not bother send involve anything I not impose anything first place I apologise
ham,Are you there in room.,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl r u hope u r well I del r back long time no c give I call sum time lucy
ham,K..k:)how much does it cost?,much cost
ham,I'm home.,I home
ham,"Dear, will call Tmorrow.pls accomodate.",dear call tmorowpls accommodate
ham,First answer my question.,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshine quit wily q win top sonya player u know country algarve txt sptyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want get lay tonight want real dig location send direct mob join large dig network take gravel era pmsgp
ham,I only haf msn. It's yijue@hotmail.com,I man yijuehotmailcom
ham,He is there. You call and meet him,call meet
ham,No no. I will check all rooms befor activities,no no I check room activity
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,not rev leg chat sac free hardware service text go u get nothing u must age verify network try
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,get c I lazy type I forgot u leave I see pouch like not v nice
ham,"K, text me when you're on the way",k text I way
ham,"Sir, Waiting for your mail.",sir wait mail
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",sit think get tired little thing movable person cozsomtime little thing occupy big part heart god ni
ham,I know you are. Can you pls open the back?,I know pus open back
ham,Yes see ya not on the dot,yes see not dot
ham,Whats the staff name who is taking class for us?,staff name take class
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",fresh not reply text I brandy sex female live local lui hear u netcolex ltd p per mug reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,email call check incur life begin later pus pray hard
ham,K..i deleted my contact that why?,I delete contact
ham,Sindu got job in birla soft ..,hindu get job girl soft
ham,The wine is flowing and i'm i have nevering..,wine flow I I sever
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,I line well cos no need go place may
ham,Ok... Ur typical reply...,ok typical reply
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mele mele minaminunginte nurungu vera set calertune caller press copy friend calertune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",everywhere dirt floor window even shirt sometimes I open mouth come flow I dream world without half shore time joy I lot show ill see I guess like thing must exist like rain hail mist time I become one
ham,Aaooooright are you at work?,aright work
ham,I'm leaving my house now...,I leave house
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love get interview today happy good boy think mere miss I
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service announcement new year delivery wait please call arrange delivery
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner u specially select receive cash holiday flight speak live operator claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep safe I I need I miss already I envy everyone see real life
ham,New car and house for my parents.:)i have only new job in hand:),new car house parent new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,I love I excited day I spend make I happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pus stop botydelious f invite friend reply yes no see wsmsacubotydelious stop send stop find
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbabe order way u receive service mug download content u not get bang mobile internetservice menu
ham,I place all ur points on e cultures module already.,I place point e culture module already
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent try contact last weekend draw show win prize guarantee call claim code valid
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi find well way avoid misunderstanding wit beloved one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape I fancy bridge need later see
ham,Yes :)it completely in out of form:)clark also utter waste.,yes completely formclark also utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",sir I need axis bank account no bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hm sure get time hop go free mud call u discuss liar
ham,What time you coming down later? ,time come later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell believe forgot surname mr ill give u clue spanish begin
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",well I na finish bath iodine night
ham,Let me know when you've got the money so carlos can make the call,let I know get money carlo make call
ham,U still going to the mall?,u still go mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend stay whole show not back til leave feel free go ahead smoke leave worth
ham,Text her. If she doesnt reply let me know so i can have her log in,text reply let I know I log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi speak masha v would like know satisfied experience reply toll free yes no
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lift hope offer money I need especially end month approach hurt study anyway gr weekend
ham,Lol no. U can trust me.,no u trust I
ham,ok. I am a gentleman and will treat you with dignity and respect.,ok I gentleman treat dignity respect
ham,"He will, you guys close?",gun close
ham,Going on nothing great.bye,go nothing greatly
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome find job not lazy work towards get back net mummy boston miss I
ham,"Haha awesome, be there in a minute",hata awesome minute
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative trephine amp win guarantee cash prize
ham,Have you got Xmas radio times. If not i will get it now,get radio time not I get
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,I reach home I go bathe first use net tell u finish k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique enough find th august wareyouniquecouk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,I sorry I join league people keep touch mean great deal I friend time even great personal cost great week
ham,Hi :)finally i completed the course:),hi finally I complete course
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop I however suggest stay someone able give every stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,hope settle new school year within gr day
ham,Gud mrng dear hav a nice day,god man dear nice day
ham,Did u got that persons story,u get person story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,master dead hey mr I meet pm orchard meet
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate evening I hope I see tomorrow bit I bloody babyjontet txt back u xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",find end leave
ham,I sent you  &lt;#&gt;  bucks,I send leave buck
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darling give finish college txt I u finish u love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account fill successfully ltdecimalgt keralacircle repay account balance ltdecimalgt transaction I leave
ham,Goodmorning sleeping ga.,godmorne sleep ga
ham,U call me alter at 11 ok.,u call I alter ok
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,u say like dat I dun buy prison not order war
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",I enter cabin pa say happy day boss I feel special ask I lunch lunch invite I apartment go
ham,"Aight yo, dats straight dogg",right day straight dog
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,please give connection today ltdecimalgt refund bill
ham,Both :) i shoot big loads so get ready!,I shoot big load get ready
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",hope great break reward smelter
ham,Home so we can always chat,home always chat
ham,K:)k:)good:)study well.,kgodstudy well
ham,Yup... How ü noe leh...,u not let
ham,Sounds great! Are you home now?,sound great home
ham,Finally the match heading towards draw as your prediction.,finally match head towards draw prediction
ham,Tired. I haven't slept well the past few nights.,tired I not sleep well past night
ham,Easy ah?sen got selected means its good..,easy ashen get select mean good
ham,I have to take exam with march 3,I take exam march
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah I think use register not sure anyway I help let I know sure ready
ham,Ok no prob. Take ur time.,ok no probe take time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,os call band run without instal hard diskyou use os copy important file system give repair shop
ham,"Sorry, I'll call later",sorry I call later
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,u say let course nothing happen war not say v romantic bit I e note scenery not nice let
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",new mobile must go txt nikita no collect todayfrom wtcbiz stout gbpmtmsg
ham,Would really appreciate if you call me. Just need someone to talk to.,would really appreciate call I need someone talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",u meet dream partner soon career fly start find free txt hero follow star sign e g hero army
ham,Hey company elama po mudyadhu.,hey company blame po mudyadhu
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",life strict teacher boy teacher reach lesson amp conduct exam life first conduct exam amp reach lesson happy morning
ham,Dear good morning now only i am up,dear good morning I
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,get gandhipuram walk cross cut road right side leave street road turn first right
ham,Dear we are going to our rubber place,dear go rubber place
ham,"Sorry battery died, yeah I'm here",sorry battery die yeah I
ham,Yes:)here tv is always available in work place..,yeshere always available work place
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,text meet someone sex today u find date even flirt u join p reply name age eg sam mug recdthirtyeight pence
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,I print oh leave come upstairs
ham,Or ill be a little closer like at the bus stop on the same street,ill little close like bus stop street
ham,Where are you?when wil you reach here?,youwhen reach
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theory argument win situation lose person argue friend kick amp say I always correct
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,u secret admirer look make contact find reveal think specialcal
ham,Tomarrow final hearing on my laptop case so i cant.,tomorrow final hear lawton case I
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,please tell I v event sport
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",okay no no shine mean sign sound well
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",although I tell u dat I big face watch I really like e watch u give cos fr u everything dat use today I touch
ham,U don't remember that old commercial?,u not remember old commercial
ham,Too late. I said i have the website. I didn't i have or dont have the slippers,late I say I webster I not I slipper
ham,I asked you to call him now ok,I ask call ok
ham,Kallis wont bat in 2nd innings.,paris bat nd win
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,work oh ok midnight ill fix ready time wake dearly miss good night sleep
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,congratulation award voucher gift guarantee free entry wily draw txt music wldewcomwinpmxage
ham,Ranjith cal drpd Deeraj and deepak 5min hold,ranjith cal dre dear dear min hold
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",wen movable sum angry wid u dint take seriously co angry childish n true way show deep affection care n lui ketoda mania nice day da
